scan,25a,25b,100aa,100ab,100ac,100ba,100bb,100bc,250aaa,250aab,250aac,250aba,250abb,250abc,250aca,250acb,250acc,250baa,250bab,250bac,250bba,250bbb,250bbc,250bca,250bcb,250bcc
0.00249153,0.00153181,0.00081405,0.06342346,3.064E-05,0.0053482,0.00013786,0.0001488,0.01136384,0.03326489,8.963E-05,0.00328558,5.93E-06,0.0205599,6.28E-06,0.00197707,2.511E-05,0.01378577,8.51E-05,1.883E-05,1.186E-05,0.00017054,0.0133289,0.00020367,0.00314678,0.00306308,0.00035817
0.00229557,0.00809671,0.00153181,0.00717543,0.03587716,0.00014662,0.0280715,2.626E-05,0.00031293,2.441E-05,4.88E-06,1.74E-06,1.535E-05,4.848E-05,0.00012381,0.00015938,1.74E-06,0.00055661,0.05541579,0.02608376,0.00081294,4.88E-06,0.00145534,2.825E-05,0.00179014,6.208E-05,0.01028884
0.01030206,0.01883688,0.00034137,0.00862627,3.064E-05,0.00105476,0.00101756,1.094E-05,1.094E-05,0.01294249,0.04099216,0.00336335,0.00010637,9.626E-05,4.19E-06,0.00011055,4.19E-06,0.00033027,1.74E-06,8.51E-05,0.00012102,2.511E-05,9.033E-05,0.00463385,1.046E-05,3.069E-05,2.999E-05
0.00431119,0.00016631,0.00365008,2.407E-05,0.00067618,0.02030304,0.00025165,1.751E-05,0.00161059,0.00041397,2.79E-05,0.00013636,0.00043768,3.034E-05,1.74E-06,1.046E-05,1.74E-06,0.03451028,1.709E-05,0.00710266,4.185E-05,0.00169946,0.00483961,0.0002518,0.01547477,0.00650629,0.03116227
0.01195375,0.00152306,0.01606211,0.00808576,0.00201323,0.00409868,0.00055364,2.626E-05,2.188E-05,0.01516438,5.057E-05,0.00783538,0.00152334,6.138E-05,0.02691693,2.79E-06,1.814E-05,0.00142046,6.312E-05,3.49E-06,3.84E-06,2.616E-05,5.022E-05,0.00370757,0.0004328,6.243E-05,4.53E-06
0.00627082,0.00690627,0.0067137,2.188E-05,0.00058209,0.00380107,7.44E-05,0.00017069,0.00854968,1.43E-05,2.546E-05,0.00436148,0.00021971,2.093E-05,1.535E-05,0.00211622,0.0131057,0.00173259,5.196E-05,4.708E-05,0.00017438,9.416E-05,4.429E-05,0.00034282,6.208E-05,0.00051999,2.127E-05
0.03264186,0.01351493,0.02153286,0.01159361,8.534E-05,0.00028448,0.04109844,2.626E-05,0.00701131,0.00018484,3.49E-06,5.441E-05,3.348E-05,0.01473646,6.98E-06,0.00352168,0.00544156,0.00818971,0.01572866,0.00304878,0.00244404,6.28E-06,1.43E-05,0.00188674,3.941E-05,0.00039234,0.00571881
0.00881834,0.00376387,0.00625853,0.05442955,0.02860763,0.00770281,7.003E-05,1.094E-05,0.00026041,0.00015868,0.01038719,4.638E-05,0.00419756,1.046E-05,2.79E-06,4.88E-06,2.825E-05,0.00056707,3.488E-05,0.00087153,0.00041676,0.0550782,2.302E-05,0.00014857,0.00033864,0.00061485,0.00045303
0.00293945,0.00503309,0.00141802,3.064E-05,0.00729798,0.00341593,0.05482782,0.0017397,0.00317522,1.988E-05,0.00211273,1.74E-06,,0.00151811,2.197E-05,1.29E-05,2.79E-06,3.174E-05,0.00021344,1.74E-06,1.604E-05,0.00204612,0.00108775,0.02898781,0.00181106,9.07E-06,0.00212354
0.00125976,0.20818599,0.0076678,0.00011379,0.00252092,0.00510311,5.252E-05,3.064E-05,0.00178565,3.139E-05,9.416E-05,,,2.197E-05,3.49E-06,0.00106439,0.00010428,0.01781384,9.416E-05,1.604E-05,3.104E-05,0.00500248,1.29E-05,0.03055614,0.00012381,2.616E-05,1.535E-05
0.0063828,0.00491054,0.00074402,0.01233544,0.02147815,0.00168718,2.188E-05,1.094E-05,0.01545814,0.00097511,1.05E-06,,,2.511E-05,1.4E-06,0.02773719,5.58E-06,0.00194673,,0.00253716,,8.231E-05,2.93E-05,0.00730702,0.00074702,0.00042408,9.765E-05
0.00543098,0.00215329,0.0002801,1.751E-05,3.939E-05,1.094E-05,0.0206269,0.01430272,0.01042943,1.046E-05,3.49E-06,,,,5.58E-05,0.000113,0.00017856,0.01597662,,0.00344635,,2.406E-05,0.00136117,0.00221108,1.046E-05,0.00878677,0.00023785
0.00515103,0.02565561,0.01117783,3.501E-05,0.02065316,0.013539,0.01572074,3.064E-05,0.03328621,9.42E-06,4.15E-05,,,,6.63E-06,0.00013008,8.579E-05,0.0026791,,0.05614886,,0.02289304,,0.00018275,4.429E-05,1.604E-05,0.00058869
0.00039193,0.00222331,0.01189559,0.12271979,2.188E-05,0.00042015,0.00101756,0.05393938,0.00041578,2.476E-05,7.847E-05,,,,0.02022719,0.00119621,6.98E-06,1.535E-05,,6.696E-05,,1.535E-05,,0.00100231,0.01110073,0.00354261,7.359E-05
0.01052602,0.00016631,0.00152306,7.003E-05,0.00611192,0.00214016,2.845E-05,0.0132786,3.064E-05,0.0017734,,,,,4.499E-05,1.988E-05,8.091E-05,0.02199257,,0.00212459,,0.003099,,,0.00074284,7.742E-05,0.00401377
0.01363344,0.00053394,0.00436784,0.00037858,0.02461398,0.00038733,0.01792873,0.00730454,0.00131517,4.429E-05,,,,,1.883E-05,4.325E-05,0.00018833,0.00150591,,6.522E-05,,0.00012904,,,0.00039653,6.208E-05,1.535E-05
0.00811847,0.00943594,1.32308918,0.0014968,0.02939542,0.03406525,0.01440338,7.659E-05,5.252E-05,2.406E-05,,,,,0.01217175,7.952E-05,,0.00928967,,3.592E-05,,5.545E-05,,,0.00049802,0.00025494,2.651E-05
0.01156183,0.04521025,0.00012254,7.878E-05,2.626E-05,0.00074621,0.00021445,0.00700256,0.00029323,,,,,,7.498E-05,1.256E-05,,1.74E-06,,0.00036549,,1.046E-05,,,0.0027485,2.302E-05,1.74E-06
0.01100193,0.00079654,0.01998354,0.04221885,1.094E-05,0.00810108,0.00153619,0.00371792,1.094E-05,,,,,,5.162E-05,0.00022355,,8.719E-05,,7.254E-05,,9.66E-05,,,,1.814E-05,0.00010567
0.03518938,0.02185673,0.00178565,4.158E-05,0.00097817,0.00167843,0.00871162,0.0016084,0.03119201,,,,,,4.19E-06,2.302E-05,,2.372E-05,,6.28E-06,,1.709E-05,,,,0.00097964,2.476E-05
0.00103581,0.00047267,0.00042015,0.00967228,2.188E-05,0.0159155,0.00012473,0.00099786,0.00573115,,,,,,0.0004743,,,,,1.74E-06,,,,,,0.00207018,0.00054928
0.06626354,0.00070026,0.00038514,0.00012692,0.00426281,0.00143771,0.01632471,0.0678854,0.00182066,,,,,,1.814E-05,,,,,,,,,,,0.00057439,0.00014613
0.01744072,0.01661356,0.01461784,0.01586079,0.00375512,0.00443787,1.094E-05,5.69E-05,0.00076372,,,,,,1.988E-05,,,,,,,,,,,0.00010079,0.00264702
0.00562694,0.00076153,0.04099121,0.01693306,5.252E-05,0.02249133,0.01300944,0.00486459,0.00209858,,,,,,2.964E-05,,,,,,,,,,,,7.045E-05
0.05408583,0.00462169,0.00152306,0.00142239,2.188E-05,0.00062367,0.06340377,1.751E-05,0.00011817,,,,,,1.36E-05,,,,,,,,,,,,1.29E-05
0.00419921,0.00094535,0.04101747,0.00947533,0.04391697,3.064E-05,3.064E-05,0.02260075,0.00044204,,,,,,6.731E-05,,,,,,,,,,,,0.00041432
0.01094594,0.01254333,0.00466545,0.00325838,0.00436566,0.01127412,0.02761195,4.814E-05,0.01111437,,,,,,0.0001245,,,,,,,,,,,,1.43E-05
0.00179166,0.05404223,0.00484927,0.00011598,0.0062082,1.751E-05,0.00469171,2.188E-05,0.00220362,,,,,,2.546E-05,,,,,,,,,,,,3.348E-05
0.00058789,0.00939218,0.00098036,0.00781441,0.00010723,1.094E-05,0.05054314,1.094E-05,0.00074402,,,,,,,,,,,,,,,,,,
0.0010638,5.252E-05,0.00762403,0.0054423,0.05295245,0.00199573,0.00010066,1.094E-05,7.878E-05,,,,,,,,,,,,,,,,,,
0.00419921,0.01431147,0.01832044,0.00430001,0.00012473,0.01765519,0.00888012,1.094E-05,0.00019257,,,,,,,,,,,,,,,,,,
0.00277148,0.00156682,0.01483667,0.03696037,0.02683948,0.01273152,0.00035669,0.14747602,0.00047705,,,,,,,,,,,,,,,,,,
0.00153971,0.00975981,0.01745387,2.845E-05,6.56E-06,0.02050874,4.814E-05,0.0379823,0.00059741,,,,,,,,,,,,,,,,,,
0.03303379,0.00605721,0.00012254,0.01848456,0.00266972,0.02159851,0.01531371,0.00310082,0.00294983,,,,,,,,,,,,,,,,,,
0.01402536,0.00494556,0.00235461,2.845E-05,0.00399583,0.00489741,0.02570595,0.00012473,7.003E-05,,,,,,,,,,,,,,,,,,
0.00624283,0.00059522,0.00253843,0.01196562,0.01433336,0.09914087,0.00668525,0.00468296,0.01080801,,,,,,,,,,,,,,,,,,
0.00111979,0.00652988,0.00269598,0.02443892,0.02048685,0.01564415,4.158E-05,1.751E-05,0.00520159,,,,,,,,,,,,,,,,,,
0.00184765,0.04270684,0.00044641,6.565E-05,1.751E-05,0.00265222,0.03685752,0.00114448,0.07273248,,,,,,,,,,,,,,,,,,
0.00055989,0.08076573,0.00062148,0.03897798,5.69E-05,9.41E-05,3.72E-05,4.377E-05,1.751E-05,,,,,,,,,,,,,,,,,,
0.00431119,0.03986205,0.00283604,0.00423873,2.626E-05,2.626E-05,0.01403794,0.0013655,2.188E-05,,,,,,,,,,,,,,,,,,
0.00321939,0.00673996,0.00464795,1.532E-05,1.094E-05,1.094E-05,0.00167186,0.01174898,2.188E-05,,,,,,,,,,,,,,,,,,
0.00291145,0.00020132,0.01357621,0.02120024,8.097E-05,0.02173637,0.01070078,0.00010723,0.01782588,,,,,,,,,,,,,,,,,,
0.00361132,0.00060397,0.02272329,0.0093506,0.00021226,0.00022977,0.08316192,0.01378847,8.097E-05,,,,,,,,,,,,,,,,,,
0.00282747,0.00122545,0.00989986,1.094E-05,2.188E-05,0.00906175,0.00017069,0.00128891,9.629E-05,,,,,,,,,,,,,,,,,,
0.00573892,0.00618851,0.00191695,8.75E-06,0.00760215,0.00150555,9.629E-05,1.751E-05,0.00033043,,,,,,,,,,,,,,,,,,
0.00386327,0.12061027,0.01538812,0.05502258,1.094E-05,0.00780128,0.00117512,0.00532632,0.0365796,,,,,,,,,,,,,,,,,,
0.00755858,0.00010504,0.03910927,0.00825207,2.626E-05,0.00337436,5.252E-05,0.00092784,0.01634003,,,,,,,,,,,,,,,,,,
0.00375129,0.00515563,0.0117818,3.939E-05,4.377E-05,0.00437222,0.08460182,0.02526172,0.00255593,,,,,,,,,,,,,,,,,,
0.00652277,3.501E-05,0.01455656,0.00254061,1.094E-05,0.0550007,0.00437879,0.00441599,5.69E-05,,,,,,,,,,,,,,,,,,
0.01080597,5.252E-05,0.00231084,3.72E-05,0.01775367,0.0132414,0.01437931,6.127E-05,0.0736275,,,,,,,,,,,,,,,,,,
0.00881834,0.0028798,0.01873184,0.00010504,0.01469443,0.10207538,0.01091523,0.0016084,2.845E-05,,,,,,,,,,,,,,,,,,
0.01335349,0.05189769,0.00976857,6.565E-05,3.282E-05,8.097E-05,1.094E-05,5.69E-05,0.02266202,,,,,,,,,,,,,,,,,,
0.01704879,0.00462169,0.00156682,3.501E-05,0.01942115,0.00840963,3.064E-05,0.05075978,1.094E-05,,,,,,,,,,,,,,,,,,
0.00041992,0.00021008,0.00495431,0.03424688,0.01220633,0.00395863,3.064E-05,0.00259313,0.00042672,,,,,,,,,,,,,,,,,,
0.00403124,0.00359756,0.02253948,2.188E-05,1.094E-05,0.00421466,7.003E-05,0.0009716,0.00015975,,,,,,,,,,,,,,,,,,
0.00089583,0.00687126,0.00856938,0.00487115,0.00212046,0.00019914,0.0005427,0.05317128,0.00375731,,,,,,,,,,,,,,,,,,
0.00072786,0.0063023,0.07913764,1.532E-05,4.158E-05,1.094E-05,0.01139447,0.03464952,0.00173751,,,,,,,,,,,,,,,,,,
0.00089583,0.01055635,0.03453135,0.01229386,0.00118825,0.00015537,0.02591165,3.064E-05,0.07528623,,,,,,,,,,,,,,,,,,
0.04801097,7.878E-05,0.04591926,0.00393675,7.44E-05,0.00066743,0.00022321,0.00088188,0.02162696,,,,,,,,,,,,,,,,,,
0.00333137,0.01442527,0.00010504,0.01337269,0.00798291,0.00756276,7.659E-05,0.00070682,0.01828324,,,,,,,,,,,,,,,,,,
0.00011198,0.00038514,0.00168937,0.01318231,0.04453844,0.00010504,0.00705945,2.845E-05,0.01179712,,,,,,,,,,,,,,,,,,
0.00632681,0.0111078,0.01481041,0.00040921,0.00020789,0.02485032,4.158E-05,0.00059959,9.629E-05,,,,,,,,,,,,,,,,,,
0.02371154,0.0001313,0.00428907,0.00829584,0.00058646,3.064E-05,3.939E-05,0.00574428,6.565E-05,,,,,,,,,,,,,,,,,,
0.00069987,0.01382129,0.0019257,0.00303736,0.00152743,0.00128234,4.377E-05,0.00281853,0.00963289,,,,,,,,,,,,,,,,,,
0.00257552,0.00188194,0.00244214,0.00042234,0.00027135,3.72E-05,0.00299797,0.00204825,2.188E-05,,,,,,,,,,,,,,,,,,
0.00587889,0.03082,0.0205525,0.00146397,0.00024728,0.01467254,0.00086219,2.626E-05,0.00171563,,,,,,,,,,,,,,,,,,
0.00067187,0.00343125,0.00911208,0.01565728,0.00047267,0.0019826,2.626E-05,0.0001685,0.0113135,,,,,,,,,,,,,,,,,,
0.0489348,0.02127902,0.00117293,0.00017506,1.751E-05,0.03160998,6.346E-05,0.00625197,0.01439025,,,,,,,,,,,,,,,,,,
0.0047871,0.00373761,0.01440776,0.00018601,1.751E-05,0.00496306,0.0041709,1.751E-05,0.00085125,,,,,,,,,,,,,,,,,,
0.01209373,0.00905956,0.01023248,0.04471351,3.064E-05,0.00019038,0.01239234,0.00048361,0.08316629,,,,,,,,,,,,,,,,,,
0.00988214,0.00817548,0.00066524,0.01955901,0.01351274,0.00930465,0.00251436,0.00022102,0.00011379,,,,,,,,,,,,,,,,,,
0.00335937,0.00922587,4.377E-05,0.00105914,1.094E-05,4.377E-05,0.00339405,0.00621258,3.064E-05,,,,,,,,,,,,,,,,,,
0.00232356,0.00079654,0.00302861,0.01716939,0.01636191,0.0040768,0.05556309,4.377E-05,0.00247497,,,,,,,,,,,,,,,,,,
0.05528961,0.00911208,0.00141802,0.00408337,1.094E-05,0.0049565,0.00187318,0.00172438,2.845E-05,,,,,,,,,,,,,,,,,,
0.01844853,0.00463044,0.00845559,0.00174189,0.05745816,1.094E-05,0.00408993,1.094E-05,0.04360185,,,,,,,,,,,,,,,,,,
0.00263151,0.00701131,0.00019257,0.00068931,0.0001313,0.0281634,3.064E-05,0.0210208,0.00060397,,,,,,,,,,,,,,,,,,
0.00859438,7.003E-05,0.0002801,0.0096876,4.814E-05,0.00760434,0.05013174,0.03900205,0.00071776,,,,,,,,,,,,,,,,,,
0.0090423,0.03371731,0.03394489,0.04893911,1.751E-05,1.094E-05,4.377E-05,0.00034137,0.03968917,,,,,,,,,,,,,,,,,,
0.00128776,0.00446413,0.05609923,3.064E-05,0.0380939,0.00465232,1.751E-05,0.0002057,0.02423979,,,,,,,,,,,,,,,,,,
0.00302343,0.00336998,0.00042891,0.00768749,0.02741063,0.01293722,0.00421466,0.00470265,2.188E-05,,,,,,,,,,,,,,,,,,
0.00151172,0.00922587,0.0209639,0.00476174,0.02313688,0.04564135,0.00012473,0.03546795,1.751E-05,,,,,,,,,,,,,,,,,,
0.01080597,0.01073142,0.0057421,6.784E-05,0.00549701,0.01401824,0.00078122,0.01315605,0.00746866,,,,,,,,,,,,,,,,,,
0.08082081,0.00023634,0.01485417,3.72E-05,0.05404441,0.07732354,2.188E-05,0.00015099,0.00054051,,,,,,,,,,,,,,,,,,
0.01713278,0.06400336,0.00216204,1.751E-05,0.0009913,0.00199135,0.002057,0.00036326,0.00041797,,,,,,,,,,,,,,,,,,
0.00610285,0.00250341,0.02459648,6.127E-05,0.01961372,9.629E-05,0.0024881,0.02411068,0.00012911,,,,,,,,,,,,,,,,,,
0.00405924,0.00550576,0.04997199,0.03893202,0.00015537,0.00078779,0.02921816,0.00019038,3.72E-05,,,,,,,,,,,,,,,,,,
0.00344335,0.01413641,0.00065649,3.72E-05,0.00142896,0.00015756,0.00016412,0.0033853,0.00050112,,,,,,,,,,,,,,,,,,
0.00991014,0.05079479,0.00186443,8.75E-06,0.00410744,0.00229553,0.01403794,0.00014224,1.094E-05,,,,,,,,,,,,,,,,,,
0.03155007,0.00327369,0.00035888,0.05504665,0.00964383,0.00010066,0.00038514,0.00147273,0.00974449,,,,,,,,,,,,,,,,,,
0.00257552,0.00836805,0.00081405,0.00179878,0.02973241,0.00021445,2.626E-05,0.02899277,2.626E-05,,,,,,,,,,,,,,,,,,
0.01332549,0.00204825,0.00018382,4.158E-05,0.02280207,0.00209201,0.00026041,0.03067995,2.188E-05,,,,,,,,,,,,,,,,,,
0.01352146,0.0179528,0.00986485,0.01053885,5.471E-05,1.094E-05,0.00059522,0.00738988,0.00018382,,,,,,,,,,,,,,,,,,
0.00218359,0.00015756,0.00654739,0.00211171,0.00125171,0.00312051,0.00717105,0.00541604,0.00359537,,,,,,,,,,,,,,,,,,
0.0457434,0.00801793,0.00031512,8.534E-05,2.188E-05,0.00552108,0.00340499,0.00222112,0.00032387,,,,,,,,,,,,,,,,,,
0.04501554,0.02519169,0.00882322,8.75E-06,0.00040921,0.01312323,4.814E-05,3.282E-05,0.00043766,,,,,,,,,,,,,,,,,,
0.02835867,0.00287105,0.0016456,0.00940312,0.00045735,0.04478572,1.094E-05,0.01992446,0.00017288,,,,,,,,,,,,,,,,,,
0.00879035,0.00017506,0.00073527,0.00049018,0.06155903,0.00106351,1.094E-05,0.01470974,5.252E-05,,,,,,,,,,,,,,,,,,
0.00355533,0.00978607,0.00010504,,0.00181191,0.02740406,0.00108102,0.00457354,4.814E-05,,,,,,,,,,,,,,,,,,
0.89896699,0.01514303,0.01074892,,0.01181025,0.00560423,,0.00617319,2.407E-05,,,,,,,,,,,,,,,,,,
0.00156771,0.00277476,0.00512062,,0.01599646,0.00011817,,0.00129985,0.00157995,,,,,,,,,,,,,,,,,,
0.00481509,0.02454396,0.00219705,,5.69E-05,1.751E-05,,2.626E-05,0.00025603,,,,,,,,,,,,,,,,,,
0.00358333,0.0048055,0.00077903,,0.0052738,0.0001313,,0.00325838,5.033E-05,,,,,,,,,,,,,,,,,,
0.00397525,0.00575085,0.00051644,,0.00039827,0.0011401,,0.00219924,0.01006836,,,,,,,,,,,,,,,,,,
0.00473111,0.01550191,0.00077903,,7.003E-05,0.01902507,,0.00013349,0.00330433,,,,,,,,,,,,,,,,,,
0.00456314,0.00737894,8.753E-05,,0.00052519,1.094E-05,,0.0008972,0.02070349,,,,,,,,,,,,,,,,,,
0.00834243,0.00334372,0.02677602,,0.00307675,8.534E-05,,0.00655833,1.751E-05,,,,,,,,,,,,,,,,,,
0.01310154,0.01979973,0.0005427,,0.00610098,1.751E-05,,0.00084468,0.00203949,,,,,,,,,,,,,,,,,,
0.00663475,0.0175414,0.1879486,,0.00011817,7.44E-05,,0.01356089,5.471E-05,,,,,,,,,,,,,,,,,,
0.015957,0.01621967,0.03440006,,0.0002429,0.00016193,,0.00244871,5.471E-05,,,,,,,,,,,,,,,,,,
0.0037233,0.00187318,0.00976857,,0.00050987,0.02839755,,0.00023415,0.00620602,,,,,,,,,,,,,,,,,,
0.00484309,0.00176815,9.629E-05,,0.04968532,8.316E-05,,0.00088845,0.00040265,,,,,,,,,,,,,,,,,,
0.00618684,0.00638108,0.01007493,,0.02566874,0.00020132,,0.00299578,0.00124733,,,,,,,,,,,,,,,,,,
0.00047591,0.00463919,0.01760267,,3.72E-05,6.565E-05,,0.00014443,1.094E-05,,,,,,,,,,,,,,,,,,
0.00047591,0.00526067,0.00276601,,4.377E-05,1.751E-05,,0.0005427,6.565E-05,,,,,,,,,,,,,,,,,,
0.0026595,0.00135675,0.03802388,,0.05480594,0.00015537,,0.0027857,0.00011379,,,,,,,,,,,,,,,,,,
0.02345959,0.12728896,0.00175939,,0.10550445,1.094E-05,,0.00042453,0.00900485,,,,,,,,,,,,,,,,,,
0.00128776,0.00098036,0.00338749,,0.02653531,1.094E-05,,8.972E-05,0.00080529,,,,,,,,,,,,,,,,,,
0.00111979,0.00280102,0.00160183,,8.097E-05,,,,0.00212265,,,,,,,,,,,,,,,,,,
0.04630329,0.00599594,0.00021008,,5.69E-05,,,,0.01500735,,,,,,,,,,,,,,,,,,
0.02124801,0.00800917,0.02528798,,0.02703424,,,,0.00019914,,,,,,,,,,,,,,,,,,
0.02138798,0.00608347,0.00287105,,0.00579899,,,,4.377E-05,,,,,,,,,,,,,,,,,,
0.0063828,0.01347117,0.00019257,,0.10363126,,,,0.01337051,,,,,,,,,,,,,,,,,,
0.00389127,0.00913834,0.00019257,,3.064E-05,,,,0.00321242,,,,,,,,,,,,,,,,,,
0.02455138,0.00182942,0.00425405,,1.751E-05,,,,0.0054795,,,,,,,,,,,,,,,,,,
0.00823045,0.00407899,0.01717377,,0.01457407,,,,0.00045954,,,,,,,,,,,,,,,,,,
0.00389127,0.0017769,0.0009541,,4.814E-05,,,,0.00854312,,,,,,,,,,,,,,,,,,
0.00223958,0.00417527,0.01218445,,0.00018819,,,,6.346E-05,,,,,,,,,,,,,,,,,,
0.00151172,0.00147054,0.00019257,,0.01283218,,,,0.00094535,,,,,,,,,,,,,,,,,,
0.01906442,0.01893316,0.00239838,,2.845E-05,,,,0.0007659,,,,,,,,,,,,,,,,,,
0.01366143,0.02202304,0.00065649,,0.01291315,,,,0.00086438,,,,,,,,,,,,,,,,,,
0.00195963,0.06826617,0.00349252,,2.188E-05,,,,0.01504237,,,,,,,,,,,,,,,,,,
0.00100781,0.00996114,0.00700256,,0.00158652,,,,1.094E-05,,,,,,,,,,,,,,,,,,
0.00097982,0.00666993,0.00158433,,0.00025822,,,,1.751E-05,,,,,,,,,,,,,,,,,,
0.07771339,0.02361612,0.00140926,,3.064E-05,,,,0.00364789,,,,,,,,,,,,,,,,,,
0.00529101,0.0284829,0.36133189,,0.00927839,,,,1.094E-05,,,,,,,,,,,,,,,,,,
0.00495507,0.00928714,0.05052344,,0.00184036,,,,5.033E-05,,,,,,,,,,,,,,,,,,
0.00223958,0.00018382,0.00854312,,0.00110071,,,,0.00273975,,,,,,,,,,,,,,,,,,
0.01217771,0.06826617,0.00879696,,0.01714751,,,,0.00144865,,,,,,,,,,,,,,,,,,
0.00515103,8.753E-05,0.00390392,,0.00430001,,,,0.00074183,,,,,,,,,,,,,,,,,,
0.00968618,0.01641224,0.00608347,,0.00118606,,,,0.00174845,,,,,,,,,,,,,,,,,,
0.00215559,0.00971605,0.00068275,,0.00039827,,,,4.377E-05,,,,,,,,,,,,,,,,,,
0.00503905,0.02342355,0.09112951,,0.00382296,,,,0.00133267,,,,,,,,,,,,,,,,,,
0.00184765,0.0560292,0.00307237,,7.44E-05,,,,0.00014005,,,,,,,,,,,,,,,,,,
0.02889057,0.00019257,0.00194321,,0.00145303,,,,0.00014443,,,,,,,,,,,,,,,,,,
0.02413146,0.00031512,0.00856938,,5.69E-05,,,,0.00010066,,,,,,,,,,,,,,,,,,
0.01074998,0.00394769,0.0001313,,0.00022758,,,,2.626E-05,,,,,,,,,,,,,,,,,,
0.00355533,0.01006617,0.00961976,,,,,,,,,,,,,,,,,,,,,,,,
0.00184765,0.00168061,0.00769406,,,,,,,,,,,,,,,,,,,,,,,,
0.00271549,0.01911698,0.00621477,,,,,,,,,,,,,,,,,,,,,,,,
0.01133787,0.00224957,0.00057771,,,,,,,,,,,,,,,,,,,,,,,,
0.00349934,0.00674871,0.00295858,,,,,,,,,,,,,,,,,,,,,,,,
0.00615884,0.00131298,0.00689752,,,,,,,,,,,,,,,,,,,,,,,,
0.00221158,0.00237212,0.03441756,,,,,,,,,,,,,,,,,,,,,,,,
0.00386327,0.0014968,0.0321855,,,,,,,,,,,,,,,,,,,,,,,,
0.00366731,0.01003991,0.04967438,,,,,,,,,,,,,,,,,,,,,,,,
0.00324739,0.0009716,0.0028798,,,,,,,,,,,,,,,,,,,,,,,,
0.00697069,0.02007983,0.01446903,,,,,,,,,,,,,,,,,,,,,,,,
